ElapsedTime, Axis_A, Axis_B, Axis_C, Axis_D, Axis_E
32.338162, 0.0,1.0006636798353123,2.198906316727963,0.9252169999836792,2.500720546760352
33.323237, 0.0,1.0003121126372772,2.1994856671060066,0.9244283202781846,2.5003388557820942
34.321982, 0.0,1.0050472731720945,2.191718071451414,0.9349950826021787,2.5054754670729538
35.340895, 0.0,1.0417685660980303,2.13146350290407,1.016966753955207,2.5453120282708728
36.340824, 0.0,1.0695112914121838,2.07004074097849,1.1038550753484617,2.577323703801881
37.357675, 0.0,1.0589455247066946,1.9929064292693706,1.2285594818419314,2.5772414449443493
38.357402, 0.0,1.0611297050169173,1.9305667987905213,1.350584421348818,2.5813944949925944
39.390826, 0.0,1.116679212060777,1.924056597365054,1.4729003705257182,2.603596547055838
40.387507, 0.0,1.1684400727318678,1.9136797816515352,1.592677752921494,2.634799542170105
41.422091, 0.0,1.203369953327631,1.8904705798741888,1.6953276238627244,2.6953900872076044
42.444639, 0.0,1.2387430296167499,1.8507324170194508,1.7838071444964063,2.761581293021396
43.434617, 0.0,1.2750171556681493,1.7659179315876594,1.8325438050184784,2.842573392805569
44.426138, 0.0,1.3231284754323915,1.6821027325454694,1.873931274532922,2.9147531068682513
45.414780, 0.0,1.410377401471099,1.5853475341149597,1.9041918734674863,2.9777593901792594
46.401704, 0.0,1.4832753585774194,1.5190825185199732,1.9282508499761166,3.0404260278595863
47.396579, 0.0,1.532484088937348,1.518485211151158,1.9407845192966053,3.113079726377
48.424011, 0.0,1.5676979492266152,1.5543131300894883,1.946889916712303,3.1904827576664534
49.379056, 0.0,1.57016764705152,1.671258322373202,1.9382793819053854,3.276118724608375
50.368727, 0.0,1.558447319409456,1.7676486161186356,1.9307052082085485,3.360808284305329
51.361768, 0.0,1.509354310855579,1.83826978578196,1.9237511310458313,3.4643919069720406
52.359323, 0.0,1.45680815012975,1.8938722573319422,1.899825419839886,3.547034345159504
53.348643, 0.0,1.3833687434334923,1.9299077328074707,1.8320167960631397,3.603676961719169
54.365077, 0.0,1.3166653452903594,1.9671233347068489,1.749850458477996,3.6443277593777457
55.325064, 0.0,1.2602319136892277,2.010127707413824,1.6274914161128262,3.6509939610171585
56.351686, 0.0,1.202757533795986,2.053218669344416,1.5169147330019508,3.6844490985981486
57.336990, 0.0,1.1423900056571688,2.096942049520527,1.4313020165202224,3.777576551474333
58.343867, 0.0,1.0866313812672892,2.1373170161168273,1.346846732254638,3.8616257319863494
59.326930, 0.0,1.0362644424034475,2.1737605077345585,1.2562062852813636,3.9322960472522817
60.326249, 0.0,1.000438182955755,2.1996829484333316,1.1570947197915484,3.9679522294913476
61.332236, 0.0,1.0001838361959474,2.1998669835209927,1.0220810996799958,3.911547875718609
62.348616, 0.0,1.0000021671374897,2.199998431946457,0.9256466207693802,3.8712606479569214
63.326087, 0.0,1.000000907075552,2.199999343676606,0.9249777483846955,3.8709812145591393
64.323841, 0.0,1.0000000325043639,2.1999999764811498,0.9591170288417319,3.8853844635232218
65.326352, 0.0,1.0000000136065883,2.19999999015482,1.0826897261143285,3.937512569693583
66.313737, 0.0,1.010867215738367,2.192136918491497,1.194609036018086,3.9612270842682062
67.314749, 0.0,1.0522442729960007,2.162198139172879,1.2819751693613641,3.9086139441033447
68.333694, 0.0,1.0990076257944104,2.1283620546247657,1.369048513328882,3.84423075017789
69.304559, 0.0,1.154026198179336,2.088552829345777,1.4467202216935138,3.758031674802406
70.306941, 0.0,1.2074105866767724,2.0494849231700707,1.5304393385379509,3.690316759589446
71.306757, 0.0,1.261655377946336,2.008644655130828,1.6371500052551344,3.6627612762940016
72.308856, 0.0,1.3150009034312753,1.9696919516058486,1.7396249359730616,3.6394812585294423
73.296669, 0.0,1.3702250195195638,1.932506702482878,1.8393117793678047,3.625284204017476
74.316814, 0.0,1.4345295654172756,1.89729997184098,1.9160024633875554,3.585732311611807
75.321656, 0.0,1.515248303633335,1.8718474856403482,1.921057218127831,3.4827748989182155
76.318866, 0.0,1.572229417917074,1.823360644057176,1.9269389192010127,3.3875608441393115
77.315697, 0.0,1.5710395435235327,1.715827984865184,1.9350440729706968,3.3094040897286714
78.307011, 0.0,1.5697490432418768,1.6091225951734085,1.9430826216475663,3.2319630767563723
79.305928, 0.0,1.5681299383372214,1.4995441693778102,1.9513262298275929,3.152743372339622
80.313833, 0.0,1.5453629456098459,1.4432829955793087,1.9499957667799808,3.079502483934188
81.303166, 0.0,1.4690059387619718,1.5233030409622075,1.9243114637120922,3.0222339375325853
82.278830, 0.0,1.3934655281781534,1.6035279706970123,1.8988180644049262,2.966321290925772
83.296646, 0.0,1.3126423149230426,1.6925135378621479,1.8712930026022871,2.908706568093313
84.312724, 0.0,1.2519093348208628,1.7772581264067353,1.8361131702876974,2.8434426787369684
85.307200, 0.0,1.2437202754755174,1.8494913150743668,1.7820641430506117,2.759917683656809
86.312545, 0.0,1.2240025800255376,1.9033302670937584,1.7138592904719,2.6875733944453817
87.286648, 0.0,1.1757810916346523,1.910450004270319,1.6112949840077362,2.6442030524574944
88.282330, 0.0,1.1287572050116015,1.92214029869589,1.516132381330834,2.6075279144177994
89.279017, 0.0,1.0753891009504786,1.9474233775333114,1.4204175853501921,2.5801240948409876
90.268966, 0.0,1.0318160777051226,1.9962629011591149,1.3359865798807835,2.5523653215091695
91.276719, 0.0,1.0133486331672676,2.1145208337685046,1.2784620179724717,2.52197019613764
92.278037, 0.0,1.0001581107359305,2.1989875237629035,1.23737463186179,2.5002602306795256
93.278438, 0.0,1.0000639718630018,2.1995903504543763,1.237081397060805,2.5001052897596203
94.273605, 0.0,1.0043692971236073,2.1712357769391626,1.2506670708298797,2.507341235298568
95.271873, 0.0,1.0207070005253445,2.0636798009115815,1.3022119449137952,2.534791745465559
96.259695, 0.0,1.043241757966886,1.9789981217945194,1.3590816575386286,2.5604538079955312
97.256975, 0.0,1.0859246220907817,1.9403920193002977,1.43958572483684,2.5857229393802252
98.244802, 0.0,1.133896016879297,1.915101800722126,1.5260203964368197,2.6106548031200316
99.245692, 0.0,1.1959447755682369,1.9253305161120788,1.6282250509428686,2.63467475890789
100.247038, 0.0,1.2370501539114866,1.9165048402498088,1.719862006562651,2.675713953137318
101.233077, 0.0,1.222665384319563,1.8584175902312017,1.7816227439960688,2.759875498060403
102.234332, 0.0,1.2307404329903264,1.7956600564238776,1.8327691179868755,2.8343289912530816
103.217565, 0.0,1.296840446134507,1.7151775892465904,1.8615858583371323,2.8909236489305954
104.226068, 0.0,1.3615944457049838,1.6387834250467894,1.8878077231250205,2.943344022894384
105.216693, 0.0,1.4358912936500734,1.5568500764252078,1.9132053232931434,2.996434025821195
106.208091, 0.0,1.4982891874142596,1.5003410419090757,1.9335512596105928,3.049611955962791
107.201176, 0.0,1.5378738389454092,1.5013254505001825,1.943512046465937,3.1090675574243813
108.196801, 0.0,1.56719246238499,1.5297257488709184,1.9487039498596168,3.1724990283239536
109.182353, 0.0,1.5694642290572354,1.6286326535037774,1.9414678732593023,3.2451974617511765
110.171213, 0.0,1.5674493283923057,1.7206286226681025,1.934563092510167,3.3166918341802827
111.171574, 0.0,1.5536358386890228,1.8035236463579327,1.9278347455762297,3.392377965382701
112.181105, 0.0,1.5218497117563956,1.8704367338428194,1.9217269729171496,3.4750795451980663
113.121108, 0.0,1.446885704707821,1.893271777118798,1.917540278265465,3.570438259656027
